Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,17,0,0,0
0.6666667,749,404.47,1795,17,0,0,0
0.6866667,749,404.47,1795,17,0,0,0
0.7058874,749,404.47,1795,17,0,0,0
0.7256308,749,404.47,1795,17,0,0,0
0.7451338,749,404.47,1795,17,0,0,0
0.7638395,749,404.47,1795,17,0,0,0
0.7829545,749,404.47,1795,17,0,0,0
0.80304,749,404.47,1795,17,0,0,0
0.8233578,749,404.47,1795,17,0,0,0
0.8422223,749,404.47,1795,17,0,0,0
0.8607482,749,404.47,1795,17,0,0,0
0.8792787,749,404.47,1795,17,0,0,0
0.898005,749,404.47,1795,17,0,0,0
0.9162557,749,404.47,1795,17,0,0,0
0.9348229,749,404.47,1795,17,0,0,0
0.9533655,749,404.47,1795,17,0,0,0
0.9722515,749,404.47,1795,17,0,0,0
0.9935187,749,404.47,1795,17,0,0,0
1.011885,749,404.47,1795,17,0,0,0
1.030258,749,404.47,1795,17,0,0,0
1.04945,749,404.47,1795,17,0,0,0
1.06795,749,404.47,1795,17,0,0,0
1.088059,749,404.47,1795,17,0,0,0
1.108764,749,404.47,1795,17,0,0,0
1.129307,749,404.47,1795,17,0,0,0
1.154458,749,404.47,1795,17,0,0,0
1.173675,749,404.47,1795,17,0,0,0
1.192049,749,404.47,1795,17,0,0,0
1.210259,749,404.47,1795,17,0,0,0
1.228449,749,404.47,1795,17,0,0,0
1.246727,749,404.47,1795,17,0,0,0
1.264086,749,404.47,1795,17,0,0,0
1.282437,749,404.47,1795,17,0,0,0
1.301409,749,404.47,1795,17,0,0,0
1.31878,749,404.47,1795,17,0,0,0
1.33672,749,404.47,1795,17,0,0,0
1.35486,749,404.47,1795,17,0,0,0
1.37229,749,404.47,1795,17,0,0,0
1.390678,749,404.47,1795,17,0,0,0
1.408833,749,404.47,1795,17,0,0,0
1.429036,749,404.47,1795,17,0,0,0
1.446844,749,404.47,1795,17,0,0,0
1.464994,749,404.47,1795,17,0,0,0
1.489744,749,404.47,1795,17,0,0,0
1.509622,749,404.47,1795,17,0,0,0
1.52901,749,404.47,1795,17,0,0,0
1.548797,749,404.47,1795,17,0,0,0
1.567233,749,404.47,1795,17,0,0,0
1.586032,749,404.47,1795,17,0,0,0
1.604684,749,404.47,1795,17,0,0,0
1.623162,749,404.47,1795,17,0,0,0
1.642955,749,404.47,1795,17,0,0,0
1.66279,749,404.47,1795,17,0,0,0
1.683081,749,404.47,1795,17,0,0,0
1.701891,749,404.47,1795,17,0,0,0
1.720231,749,404.47,1795,17,0,0,0
1.738793,749,404.47,1795,17,0,0,0
1.756692,749,404.47,1795,17,0,0,0
1.774963,749,404.47,1795,17,0,0,0
1.792976,749,404.47,1795,17,0,0,0
1.810659,749,404.47,1795,17,0,0,0
1.828008,749,404.47,1795,17,0,0,0
1.847845,749,404.47,1795,17,0,0,0
1.866423,749,404.47,1795,17,0,0,0
1.8843,749,404.47,1795,17,0,0,0
1.903355,749,404.47,1795,17,0,0,0
1.923035,749,404.47,1795,17,0,0,0
1.941932,749,404.47,1795,17,0,0,0
1.960041,749,404.47,1795,17,0,0,0
1.98054,749,404.47,1795,17,0,0,0
1.999216,749,404.47,1795,17,0,0,0
2.017322,749,404.47,1795,17,0,0,0
2.036075,749,404.47,1795,17,0,0,0
2.054916,749,404.47,1795,17,0,0,0
2.073253,749,404.47,1795,17,0,0,0
2.092726,749,404.47,1795,17,0,0,0
