Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,24,0,0,0
0.6666667,749,404.47,1795,24,0,0,0
0.6866667,749,404.47,1795,24,0,0,0
0.717091,749,404.47,1795,24,0,0,0
0.746574,749,404.47,1795,24,0,0,0
0.7858106,749,404.47,1795,24,0,0,0
0.836377,749,404.47,1795,24,0,0,0
0.8546318,749,404.47,1795,24,0,0,0
0.8774969,749,404.47,1795,24,0,0,0
0.8945912,749,404.47,1795,24,0,0,0
0.9115207,749,404.47,1795,24,0,0,0
0.9286148,749,404.47,1795,24,0,0,0
0.9456115,749,404.47,1795,24,0,0,0
0.9628135,749,404.47,1795,24,0,0,0
0.9803343,749,404.47,1795,24,0,0,0
0.9973974,749,404.47,1795,24,0,0,0
1.014591,749,404.47,1795,24,0,0,0
1.032025,749,404.47,1795,24,0,0,0
1.048782,749,404.47,1795,24,0,0,0
1.066237,749,404.47,1795,24,0,0,0
1.083908,749,404.47,1795,24,0,0,0
1.100835,749,404.47,1795,24,0,0,0
1.11786,749,404.47,1795,24,0,0,0
1.13479,749,404.47,1795,24,0,0,0
1.151567,749,404.47,1795,24,0,0,0
1.168684,749,404.47,1795,24,0,0,0
1.185452,749,404.47,1795,24,0,0,0
1.202751,749,404.47,1795,24,0,0,0
1.219932,749,404.47,1795,24,0,0,0
1.236999,749,404.47,1795,24,0,0,0
1.253952,749,404.47,1795,24,0,0,0
1.271026,749,404.47,1795,24,0,0,0
1.288096,749,404.47,1795,24,0,0,0
1.305032,749,404.47,1795,24,0,0,0
1.32231,749,404.47,1795,24,0,0,0
1.339602,749,404.47,1795,24,0,0,0
1.356808,749,404.47,1795,24,0,0,0
1.373662,749,404.47,1795,24,0,0,0
1.391016,749,404.47,1795,24,0,0,0
1.408754,749,404.47,1795,24,0,0,0
1.426126,749,404.47,1795,24,0,0,0
1.443609,749,404.47,1795,24,0,0,0
1.460763,749,404.47,1795,24,0,0,0
1.47778,749,404.47,1795,24,0,0,0
1.494802,749,404.47,1795,24,0,0,0
1.512344,749,404.47,1795,24,0,0,0
1.529373,749,404.47,1795,24,0,0,0
1.546594,749,404.47,1795,24,0,0,0
1.56351,749,404.47,1795,24,0,0,0
1.580571,749,404.47,1795,24,0,0,0
1.597503,749,404.47,1795,24,0,0,0
1.614587,749,404.47,1795,24,0,0,0
1.632361,749,404.47,1795,24,0,0,0
1.650127,749,404.47,1795,24,0,0,0
1.667696,749,404.47,1795,24,0,0,0
1.685012,749,404.47,1795,24,0,0,0
1.702016,749,404.47,1795,24,0,0,0
1.719106,749,404.47,1795,24,0,0,0
1.735763,749,404.47,1795,24,0,0,0
1.752912,749,404.47,1795,24,0,0,0
1.770189,749,404.47,1795,24,0,0,0
1.787174,749,404.47,1795,24,0,0,0
1.804301,749,404.47,1795,24,0,0,0
1.821413,749,404.47,1795,24,0,0,0
1.838314,749,404.47,1795,24,0,0,0
1.860088,749,404.47,1795,24,0,0,0
1.877096,749,404.47,1795,24,0,0,0
1.89428,749,404.47,1795,24,0,0,0
1.911435,749,404.47,1795,24,0,0,0
1.930232,749,404.47,1795,24,0,0,0
1.948801,749,404.47,1795,24,0,0,0
1.965534,749,404.47,1795,24,0,0,0
1.982216,749,404.47,1795,24,0,0,0
1.999703,749,404.47,1795,24,0,0,0
2.017176,749,404.47,1795,24,0,0,0
2.033918,749,404.47,1795,24,0,0,0
2.051496,749,404.47,1795,24,0,0,0
2.068303,749,404.47,1795,24,0,0,0
2.085358,749,404.47,1795,24,0,0,0
2.102631,749,404.47,1795,24,0,0,0
2.119684,749,404.47,1795,24,0,0,0
2.137123,749,404.47,1795,24,0,0,0
2.154372,749,404.47,1795,24,0,0,0
2.171581,749,404.47,1795,24,0,0,0
2.188927,749,404.47,1795,24,0,0,0
2.205723,749,404.47,1795,24,0,0,0
