Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,64,0,0,0
0.6666667,749,404.47,1795,64,0,0,0
0.6866667,749,404.47,1795,64,0,0,0
0.706315,749,404.47,1795,64,0,0,0
0.7240534,749,404.47,1795,64,0,0,0
0.7419914,749,404.47,1795,64,0,0,0
0.7611242,749,404.47,1795,64,0,0,0
0.7797478,749,404.47,1795,64,0,0,0
0.8031858,749,404.47,1795,64,0,0,0
0.8218241,749,404.47,1795,64,0,0,0
0.8403296,749,404.47,1795,64,0,0,0
0.8577933,749,404.47,1795,64,0,0,0
0.8766378,749,404.47,1795,64,0,0,0
0.8947086,749,404.47,1795,64,0,0,0
0.912427,749,404.47,1795,64,0,0,0
0.929748,749,404.47,1795,64,0,0,0
0.951696,749,404.47,1795,64,0,0,0
0.9719847,749,404.47,1795,64,0,0,0
0.9902669,749,404.47,1795,64,0,0,0
1.008468,749,404.47,1795,64,0,0,0
1.026038,749,404.47,1795,64,0,0,0
1.043988,749,404.47,1795,64,0,0,0
1.061734,749,404.47,1795,64,0,0,0
1.079672,749,404.47,1795,64,0,0,0
1.097455,749,404.47,1795,64,0,0,0
1.115052,749,404.47,1795,64,0,0,0
1.133472,749,404.47,1795,64,0,0,0
1.150921,749,404.47,1795,64,0,0,0
1.168996,749,404.47,1795,64,0,0,0
1.186737,749,404.47,1795,64,0,0,0
1.205062,749,404.47,1795,64,0,0,0
1.22271,749,404.47,1795,64,0,0,0
1.240179,749,404.47,1795,64,0,0,0
1.258051,749,404.47,1795,64,0,0,0
1.275481,749,404.47,1795,64,0,0,0
1.29314,749,404.47,1795,64,0,0,0
1.313423,749,404.47,1795,64,0,0,0
1.332272,749,404.47,1795,64,0,0,0
1.349644,749,404.47,1795,64,0,0,0
1.367055,749,404.47,1795,64,0,0,0
1.384358,749,404.47,1795,64,0,0,0
1.4016,749,404.47,1795,64,0,0,0
1.420227,749,404.47,1795,64,0,0,0
1.452829,749,404.47,1795,64,0,0,0
