Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,18,0,0,0
0.6666667,749,404.47,1795,18,0,0,0
0.6866667,749,404.47,1795,18,0,0,0
0.7329057,749,404.47,1795,18,0,0,0
0.7527195,749,404.47,1795,18,0,0,0
0.7743144,749,404.47,1795,18,0,0,0
0.8110727,749,404.47,1795,18,0,0,0
0.87798,749,404.47,1795,18,0,0,0
0.9659244,749,404.47,1795,18,0,0,0
0.9856777,749,404.47,1795,18,0,0,0
1.00404,749,404.47,1795,18,0,0,0
1.022642,749,404.47,1795,18,0,0,0
1.040863,749,404.47,1795,18,0,0,0
1.058733,749,404.47,1795,18,0,0,0
1.076789,749,404.47,1795,18,0,0,0
1.095128,749,404.47,1795,18,0,0,0
1.11444,749,404.47,1795,18,0,0,0
1.132904,749,404.47,1795,18,0,0,0
1.15136,749,404.47,1795,18,0,0,0
1.170124,749,404.47,1795,18,0,0,0
1.190324,749,404.47,1795,18,0,0,0
1.208979,749,404.47,1795,18,0,0,0
1.227038,749,404.47,1795,18,0,0,0
1.244995,749,404.47,1795,18,0,0,0
1.262993,749,404.47,1795,18,0,0,0
1.28145,749,404.47,1795,18,0,0,0
1.299466,749,404.47,1795,18,0,0,0
1.317697,749,404.47,1795,18,0,0,0
1.335667,749,404.47,1795,18,0,0,0
1.353108,749,404.47,1795,18,0,0,0
1.370297,749,404.47,1795,18,0,0,0
1.388797,749,404.47,1795,18,0,0,0
1.405942,749,404.47,1795,18,0,0,0
1.42419,749,404.47,1795,18,0,0,0
1.443408,749,404.47,1795,18,0,0,0
1.461362,749,404.47,1795,18,0,0,0
1.479244,749,404.47,1795,18,0,0,0
1.496544,749,404.47,1795,18,0,0,0
1.514306,749,404.47,1795,18,0,0,0
1.534314,749,404.47,1795,18,0,0,0
1.5533,749,404.47,1795,18,0,0,0
1.571852,749,404.47,1795,18,0,0,0
1.589342,749,404.47,1795,18,0,0,0
1.607969,749,404.47,1795,18,0,0,0
1.626623,749,404.47,1795,18,0,0,0
1.644772,749,404.47,1795,18,0,0,0
1.66362,749,404.47,1795,18,0,0,0
1.682851,749,404.47,1795,18,0,0,0
1.701393,749,404.47,1795,18,0,0,0
1.719048,749,404.47,1795,18,0,0,0
1.737718,749,404.47,1795,18,0,0,0
1.755862,749,404.47,1795,18,0,0,0
1.773563,749,404.47,1795,18,0,0,0
1.79185,749,404.47,1795,18,0,0,0
1.80924,749,404.47,1795,18,0,0,0
1.827173,749,404.47,1795,18,0,0,0
1.845037,749,404.47,1795,18,0,0,0
1.862314,749,404.47,1795,18,0,0,0
1.880185,749,404.47,1795,18,0,0,0
1.897569,749,404.47,1795,18,0,0,0
1.914901,749,404.47,1795,18,0,0,0
1.932752,749,404.47,1795,18,0,0,0
1.952888,749,404.47,1795,18,0,0,0
1.974018,749,404.47,1795,18,0,0,0
1.992425,749,404.47,1795,18,0,0,0
2.010336,749,404.47,1795,18,0,0,0
2.028783,749,404.47,1795,18,0,0,0
2.047097,749,404.47,1795,18,0,0,0
2.065771,749,404.47,1795,18,0,0,0
2.083601,749,404.47,1795,18,0,0,0
2.101646,749,404.47,1795,18,0,0,0
2.119483,749,404.47,1795,18,0,0,0
2.137972,749,404.47,1795,18,0,0,0
2.157679,749,404.47,1795,18,0,0,0
2.175015,749,404.47,1795,18,0,0,0
2.192826,749,404.47,1795,18,0,0,0
2.210111,749,404.47,1795,18,0,0,0
2.227497,749,404.47,1795,18,0,0,0
2.249487,749,404.47,1795,18,0,0,0
2.266744,749,404.47,1795,18,0,0,0
2.284198,749,404.47,1795,18,0,0,0
2.301778,749,404.47,1795,18,0,0,0
2.319053,749,404.47,1795,18,0,0,0
2.336513,749,404.47,1795,18,0,0,0
2.353895,749,404.47,1795,18,0,0,0
2.372085,749,404.47,1795,18,0,0,0
2.389996,749,404.47,1795,18,0,0,0
2.407611,749,404.47,1795,18,0,0,0
2.425691,749,404.47,1795,18,0,0,0
2.443517,749,404.47,1795,18,0,0,0
2.46151,749,404.47,1795,18,0,0,0
2.479534,749,404.47,1795,18,0,0,0
2.499557,749,404.47,1795,18,0,0,0
2.517928,749,404.47,1795,18,0,0,0
2.535714,749,404.47,1795,18,0,0,0
2.553653,749,404.47,1795,18,0,0,0
2.573911,749,404.47,1795,18,0,0,0
2.593523,749,404.47,1795,18,0,0,0
2.611782,749,404.47,1795,18,0,0,0
2.630179,749,404.47,1795,18,0,0,0
2.648593,749,404.47,1795,18,0,0,0
2.666944,749,404.47,1795,18,0,0,0
2.685556,749,404.47,1795,18,0,0,0
2.702763,749,404.47,1795,18,0,0,0
2.720728,749,404.47,1795,18,0,0,0
2.737762,749,404.47,1795,18,0,0,0
2.755591,749,404.47,1795,18,0,0,0
2.773348,749,404.47,1795,18,0,0,0
2.790386,749,404.47,1795,18,0,0,0
2.80936,749,404.47,1795,18,0,0,0
2.82651,749,404.47,1795,18,0,0,0
2.844737,749,404.47,1795,18,0,0,0
2.862801,749,404.47,1795,18,0,0,0
2.880932,749,404.47,1795,18,0,0,0
2.898752,749,404.47,1795,18,0,0,0
2.916654,749,404.47,1795,18,0,0,0
2.93487,749,404.47,1795,18,0,0,0
2.953797,749,404.47,1795,18,0,0,0
2.97162,749,404.47,1795,18,0,0,0
2.989933,749,404.47,1795,18,0,0,0
3.007876,749,404.47,1795,18,0,0,0
3.025665,749,404.47,1795,18,0,0,0
3.0435,749,404.47,1795,18,0,0,0
3.06099,749,404.47,1795,18,0,0,0
3.078264,749,404.47,1795,18,0,0,0
3.095843,749,404.47,1795,18,0,0,0
3.113201,749,404.47,1795,18,0,0,0
3.130434,749,404.47,1795,18,0,0,0
3.148154,749,404.47,1795,18,0,0,0
3.165998,749,404.47,1795,18,0,0,0
3.183419,749,404.47,1795,18,0,0,0
3.200737,749,404.47,1795,18,0,0,0
3.218966,749,404.47,1795,18,0,0,0
3.237143,749,404.47,1795,18,0,0,0
3.255504,749,404.47,1795,18,0,0,0
3.273209,749,404.47,1795,18,0,0,0
3.291069,749,404.47,1795,18,0,0,0
3.309525,749,404.47,1795,18,0,0,0
3.326885,749,404.47,1795,18,0,0,0
3.344999,749,404.47,1795,18,0,0,0
3.362771,749,404.47,1795,18,0,0,0
3.380089,749,404.47,1795,18,0,0,0
3.39768,749,404.47,1795,18,0,0,0
3.415076,749,404.47,1795,18,0,0,0
3.432508,749,404.47,1795,18,0,0,0
3.450965,749,404.47,1795,18,0,0,0
3.469353,749,404.47,1795,18,0,0,0
3.487109,749,404.47,1795,18,0,0,0
3.505569,749,404.47,1795,18,0,0,0
3.523457,749,404.47,1795,18,0,0,0
3.540931,749,404.47,1795,18,0,0,0
3.558457,749,404.47,1795,18,0,0,0
3.576298,749,404.47,1795,18,0,0,0
3.59457,749,404.47,1795,18,0,0,0
3.614094,749,404.47,1795,18,0,0,0
3.63263,749,404.47,1795,18,0,0,0
3.651927,749,404.47,1795,18,0,0,0
3.677087,749,404.47,1795,18,0,0,0
3.69998,749,404.47,1795,18,0,0,0
3.718075,749,404.47,1795,18,0,0,0
3.736121,749,404.47,1795,18,0,0,0
3.753633,749,404.47,1795,18,0,0,0
3.771074,749,404.47,1795,18,0,0,0
3.788353,749,404.47,1795,18,0,0,0
3.806088,749,404.47,1795,18,0,0,0
3.825341,749,404.47,1795,18,0,0,0
3.844193,749,404.47,1795,18,0,0,0
3.863076,749,404.47,1795,18,0,0,0
3.880228,749,404.47,1795,18,0,0,0
3.898112,749,404.47,1795,18,0,0,0
3.915857,749,404.47,1795,18,0,0,0
3.933285,749,404.47,1795,18,0,0,0
3.950735,749,404.47,1795,18,0,0,0
3.968229,749,404.47,1795,18,0,0,0
3.985424,749,404.47,1795,18,0,0,0
4.003006,749,404.47,1795,18,0,0,0
4.020607,749,404.47,1795,18,0,0,0
4.03828,749,404.47,1795,18,0,0,0
4.055944,749,404.47,1795,18,0,0,0
4.074658,749,404.47,1795,18,0,0,0
4.091615,749,404.47,1795,18,0,0,0
4.109033,749,404.47,1795,18,0,0,0
4.130676,749,404.47,1795,18,0,0,0
4.151292,749,404.47,1795,18,0,0,0
4.170482,749,404.47,1795,18,0,0,0
4.189219,749,404.47,1795,18,0,0,0
4.208948,749,404.47,1795,18,0,0,0
4.227651,749,404.47,1795,18,0,0,0
4.245286,749,404.47,1795,18,0,0,0
4.263632,749,404.47,1795,18,0,0,0
4.283295,749,404.47,1795,18,0,0,0
4.302371,749,404.47,1795,18,0,0,0
4.320613,749,404.47,1795,18,0,0,0
4.341362,749,404.47,1795,18,0,0,0
4.36045,749,404.47,1795,18,0,0,0
4.379357,749,404.47,1795,18,0,0,0
4.398424,749,404.47,1795,18,0,0,0
4.424386,749,404.47,1795,18,0,0,0
4.443513,749,404.47,1795,18,0,0,0
4.462844,749,404.47,1795,18,0,0,0
4.482974,749,404.47,1795,18,0,0,0
4.503233,749,404.47,1795,18,0,0,0
4.521889,749,404.47,1795,18,0,0,0
4.540761,749,404.47,1795,18,0,0,0
4.55925,749,404.47,1795,18,0,0,0
4.577849,749,404.47,1795,18,0,0,0
4.596022,749,404.47,1795,18,0,0,0
4.614979,749,404.47,1795,18,0,0,0
4.634285,749,404.47,1795,18,0,0,0
4.652645,749,404.47,1795,18,0,0,0
4.681324,749,404.47,1795,18,0,0,0
4.707733,749,404.47,1795,18,0,0,0
4.726449,749,404.47,1795,18,0,0,0
4.7451,749,404.47,1795,18,0,0,0
4.764199,749,404.47,1795,18,0,0,0
4.783233,749,404.47,1795,18,0,0,0
4.801399,749,404.47,1795,18,0,0,0
4.81954,749,404.47,1795,18,0,0,0
4.838172,749,404.47,1795,18,0,0,0
4.857522,749,404.47,1795,18,0,0,0
4.875469,749,404.47,1795,18,0,0,0
4.894131,749,404.47,1795,18,0,0,0
4.91199,749,404.47,1795,18,0,0,0
4.931401,749,404.47,1795,18,0,0,0
4.950622,749,404.47,1795,18,0,0,0
4.968736,749,404.47,1795,18,0,0,0
4.986542,749,404.47,1795,18,0,0,0
5.00452,749,404.47,1795,18,0,0,0
5.023107,749,404.47,1795,18,0,0,0
5.041116,749,404.47,1795,18,0,0,0
5.058935,749,404.47,1795,18,0,0,0
5.07687,749,404.47,1795,18,0,0,0
5.09514,749,404.47,1795,18,0,0,0
5.112888,749,404.47,1795,18,0,0,0
5.1312,749,404.47,1795,18,0,0,0
5.150748,749,404.47,1795,18,0,0,0
5.170459,749,404.47,1795,18,0,0,0
5.193205,749,404.47,1795,18,0,0,0
5.211393,749,404.47,1795,18,0,0,0
5.23394,749,404.47,1795,18,0,0,0
5.253601,749,404.47,1795,18,0,0,0
5.272976,749,404.47,1795,18,0,0,0
5.291632,749,404.47,1795,18,0,0,0
5.309533,749,404.47,1795,18,0,0,0
5.327271,749,404.47,1795,18,0,0,0
5.346076,749,404.47,1795,18,0,0,0
5.364012,749,404.47,1795,18,0,0,0
