Time, X Position, Y Position, Z Position, GSR, m, b, distance
0.3333333,749,404.47,1795,61,0,0,200
0.6666667,749,404.47,1795,61,0,0,200
0.6866667,749,404.47,1795,61,0,0,200
0.706746,749,404.47,1795,61,0,0,200
0.7256721,749,404.47,1795,61,0,0,200
0.7448363,749,404.47,1795,61,0,0,200
0.7650647,749,404.47,1795,61,0,0,200
0.7846408,749,404.47,1795,61,0,0,200
0.8098688,749,404.47,1795,61,0,0,200
0.8297117,749,404.47,1795,61,0,0,200
0.8479006,749,404.47,1795,61,0,0,200
0.8657621,749,404.47,1795,61,0,0,200
0.8867427,749,404.47,1795,61,0,0,200
0.9043103,749,404.47,1795,61,0,0,200
0.9224979,749,404.47,1795,61,0,0,200
0.9412427,749,404.47,1795,61,0,0,200
0.9599136,749,404.47,1795,61,0,0,200
0.9797005,749,404.47,1795,61,0,0,200
0.9983413,749,404.47,1795,61,0,0,200
1.018267,749,404.47,1795,61,0,0,200
1.036096,749,404.47,1795,61,0,0,200
1.054528,749,404.47,1795,61,0,0,200
1.073581,749,404.47,1795,61,0,0,200
1.091686,749,404.47,1795,61,0,0,200
1.110813,749,404.47,1795,61,0,0,200
1.129231,749,404.47,1795,61,0,0,200
1.147306,749,404.47,1795,61,0,0,200
1.165908,749,404.47,1795,61,0,0,200
1.183598,749,404.47,1795,61,0,0,200
1.201226,749,404.47,1795,61,0,0,200
1.219213,749,404.47,1795,61,0,0,200
1.238558,749,404.47,1795,61,0,0,200
1.258548,749,404.47,1795,61,0,0,200
1.277462,749,404.47,1795,61,0,0,200
1.296557,749,404.47,1795,61,0,0,200
1.317163,749,404.47,1795,61,0,0,200
1.335281,749,404.47,1795,61,0,0,200
1.354171,749,404.47,1795,61,0,0,200
1.37315,749,404.47,1795,61,0,0,200
1.391178,749,404.47,1795,61,0,0,200
1.408772,749,404.47,1795,61,0,0,200
1.426557,749,404.47,1795,61,0,0,200
1.444774,749,404.47,1795,61,0,0,200
1.462898,749,404.47,1795,61,0,0,200
1.481045,749,404.47,1795,61,0,0,200
1.499493,749,404.47,1795,61,0,0,200
1.518129,749,404.47,1795,61,0,0,200
1.537109,749,404.47,1795,61,0,0,200
1.555213,749,404.47,1795,61,0,0,200
1.574707,749,404.47,1795,61,0,0,200
